Company_Name,Headquarters_Location,Year_Founded,Employee_Count,Annual_Revenue_Billion_USD,Market_Segment,Location,Server_Count,Graphics_Cards_Used,Total_Storage_TB,Average_Uptime_Percentage,Server_Type,Electricity_Rate_USD_per_kWh,Hours_Operated,Power_Usage_Watts,Electricity_Cost_USD,Manufacturer,Model,Memory_Size_GB,Core_Clock_MHz,Boost_Clock_MHz,Memory_Type,TDP_Watts,Price_USD
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,100.0,"AX900-4, RT300-20, RT300-5, Pro1000-17",314.0,98.5,Type E,0.2,3000.0,1250.0,750.0,AMD,GX500-1,8.0,2500.0,1500.0,GDDR6X,222.0,419.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,200.0,GX500-19,237.0,98.35,Type C,0.12,3000.0,765.0,275.4,Intel,GX500-2,12.0,2500.0,1500.0,GDDR5,95.0,916.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,50.0,GX500-16,485.0,98.32,Type E,0.1,4000.0,652.0,260.8,NVIDIA,GX500-3,8.0,1000.0,3000.0,GDDR5,196.0,1453.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,500.0,Elite4K-9,923.0,98.73,Type A,0.25,1000.0,1490.0,372.5,Intel,GX500-4,8.0,2000.0,3000.0,GDDR5,96.0,610.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,500.0,"RT300-8, RT300-9, GX500-13, AX900-15",819.0,98.53,Type B,0.12,5000.0,1407.0,844.2,AMD,GX500-5,24.0,2500.0,2500.0,GDDR5,111.0,827.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,10.0,"GX500-17, GX500-15, RT300-12",843.0,99.23,Type A,0.25,1000.0,634.0,158.5,Intel,GX500-6,4.0,2000.0,3000.0,GDDR5,61.0,786.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,200.0,"GX500-14, AX900-9, GX500-13",838.0,98.35,Type E,0.12,5000.0,1235.0,741.0,AMD,GX500-7,16.0,2500.0,2000.0,GDDR6X,93.0,1345.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,500.0,"Pro1000-9, RT300-7, RT300-6, AX900-10",972.0,99.87,Type B,0.12,5000.0,1241.0,744.6,AMD,GX500-8,12.0,2500.0,1500.0,GDDR6X,140.0,898.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,100.0,"Pro1000-14, Elite4K-3, Pro1000-2",865.0,98.19,Type E,0.12,3000.0,1180.0,424.8,AMD,GX500-9,4.0,2000.0,2000.0,GDDR5,74.0,1464.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,10.0,Pro1000-18,951.0,99.58,Type A,0.1,4000.0,999.0,399.6,Intel,GX500-10,16.0,2500.0,1500.0,GDDR6X,172.0,640.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,200.0,AX900-5,451.0,98.15,Type B,0.12,1000.0,717.0,86.04,AMD,GX500-11,16.0,1000.0,2500.0,GDDR5,160.0,211.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,100.0,"Pro1000-2, Pro1000-10, RT300-20, AX900-10, AX900-6",147.0,99.11,Type D,0.25,2000.0,589.0,294.5,Intel,GX500-12,4.0,1500.0,1500.0,GDDR5,226.0,639.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,200.0,"RT300-17, Elite4K-3",412.0,99.88,Type D,0.15,5000.0,509.0,381.75,Intel,GX500-13,4.0,2000.0,1500.0,GDDR5,284.0,241.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,200.0,"AX900-13, GX500-17",144.0,98.32,Type D,0.1,2000.0,863.0,172.6,Intel,GX500-14,8.0,2000.0,3000.0,GDDR5,79.0,362.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Australia,200.0,"GX500-11, Pro1000-11, Elite4K-10, GX500-15",379.0,99.09,Type B,0.25,1000.0,703.0,175.75,AMD,GX500-15,12.0,1500.0,3000.0,GDDR5,285.0,339.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,200.0,"AX900-1, Elite4K-13, RT300-3, RT300-19, GX500-4",813.0,98.61,Type B,0.1,5000.0,750.0,375.0,NVIDIA,GX500-16,8.0,2000.0,1500.0,GDDR6,76.0,820.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Europe,100.0,"Elite4K-1, Pro1000-17",356.0,98.2,Type A,0.15,1000.0,1212.0,181.8,Intel,GX500-17,4.0,1000.0,1500.0,GDDR5,146.0,1412.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,North America,100.0,"Elite4K-14, RT300-4",624.0,98.32,Type B,0.25,3000.0,559.0,419.25,Intel,GX500-18,16.0,2000.0,2000.0,GDDR5,250.0,1142.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,Asia,200.0,"GX500-7, RT300-14",729.0,98.34,Type C,0.1,5000.0,1194.0,597.0,Intel,GX500-19,8.0,2000.0,1500.0,GDDR6,197.0,1057.0
Provider A,USA,1962,22760,94.66,Datacenter Solutions,South America,100.0,GX500-2,378.0,99.1,Type C,0.1,1000.0,557.0,55.7,AMD,GX500-20,12.0,1000.0,2000.0,GDDR6,95.0,516.0
